Co_ID,Exchange,Name,"Root
Ticker"," QMV(C$)
31-August-2019 "," O/S Shares
31-August-2019 ",Sector,"Sub
Sector",Listing Type,"Date of 
TSX Listing
YYYYMMDD","HQ
Location","HQ
Region","Interlisted
Code_I","Interlisted
Code_II",Listed on OTC,"TSX 
Venture 
Grad","Former
CPC",Index,Clean Technology Primary Industry,Clean Technology Sub-Sector,Technology Sub-Sector ,"Consumer Products & Services
Sub-Sector",Real Estate Sub-Sector ,Life Sciences Sub-Sector,USA_City,USA_State,Asia Region,Israel Related,"Place of Incorporation
C=Canada
U=USA
F=Foreign",Fund Family,SP Grouping,SP_Type,SP_Sub,"Income Trust 
Conversion"," Volume YTD
31-August-2019 "," Value (C$) YTD
31-August-2019 "," Number of 
Trades YTD
31-August-2019 "," Number of
Months of 
Trading Data ",AFRICA,AUS/NZ/PNG,CANADA,CHINA & ASIA,LATIN AMERICA,OTHER,UK/EUROPE,USA,Oil and Gas,Gold,Silver,Copper,Nickel,Diamond,Molybdenum,Platinum/PGM,Iron,Lead,Zinc,Rare Earths,Potash,Lithium,Uranium,Coal,Tungsten,Base & Precious Metals,Mineral Properties (General),Other Properties
JIN0001,TSX,China Gold International Resources Corp. Ltd.,CGG," 547,050,979 "," 396,413,753 ", Mining ,,TSXV Grad,20061006,China,Asia,HKEx,,,1,,,,,,,,,,,Inner Mongolia,,C,,,,,," 15,049,263 "," 24,526,570 "," 45,165 ", 8 ,,,,"Mongolia,Tibet",,,,,,1,,1,,,,,,,,,,,,,,,,
CHI0012,TSX,Chinook Energy Inc.,CKE," 12,302,510 "," 223,682,001 ", Oil & Gas ,,Other,20100706,AB,Canada,,,,,,,,,,,,,,,,,C,,,,,," 22,217,631 "," 2,801,451 "," 1,838 ", 8 ,North Africa,,Western Canada,,,,,,1,,,,,,,,,,,,,,,,,,,
CHO0002,TSX,Choice Properties Real Estate Investment Trust,CHP," 4,294,296,123 "," 309,610,391 ", Real Estate ,,IPO,20130705,ON,Canada,,,,,,1,,,,,Industrial/Office/Retail/Residential,,,,,,C,,Income Trust,,REIT,," 81,893,431 "," 1,101,026,080 "," 272,302 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAZ0002,TSX,Chorus Aviation Inc.,CHR," 1,380,942,432 "," 161,156,662 ", Industrial Products & Services ,,IPO,20060201,NS,Canada,,,,,,1,,,,,,,,,,,C,,,,,2011," 61,598,314 "," 450,817,912 "," 183,389 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIF0001,TSX,CI Financial Corp.,CIX," 4,518,812,506 "," 236,835,037 ", Financial Services ,,,19940620,ON,Canada,,,,,,1,,,,,,,,,,,C,,,,,2006_2009," 103,959,813 "," 1,999,668,166 "," 477,985 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0076,TSX,CI First Asset 1-5 Year Laddered Government Strip Bond Index ETF,BXF," 142,205,678 "," 13,699,969 ", ETP ,,IPO,20130611,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 1,532,713 "," 15,741,977 ", 819 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0090,TSX,CI First Asset Active Canadian Dividend ETF,FDV," 39,231,174 "," 3,849,968 ", ETP ,,IPO,20140909,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 204,774 "," 2,010,552 ", 353 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0104,TSX,CI First Asset Active Credit ETF,FAO," 22,740,599 "," 2,395,801 ", ETP ,,IPO,20150119,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 283,391 "," 2,678,923 ", 516 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0048,TSX,CI First Asset Active Utility & Infrastructure ETF,FAI," 25,639,259 "," 2,241,194 ", ETP ,,IPO,20050216,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 291,221 "," 3,161,417 ", 424 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0119,TSX,CI First Asset Canadian Buyback Index ETF,FBE," 10,768,500 "," 450,000 ", ETP ,,IPO,20160913,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 755,567 "," 19,094,480 ", 495 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN0177,TSX,CI First Asset Canadian Convertible Bond ETF,CXF," 54,439,442 "," 5,647,245 ", ETP ,,IPO,20110607,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 777,696 "," 7,342,578 "," 1,577 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0047,TSX,CI First Asset Canadian REIT ETF,RIT," 571,569,404 "," 30,746,068 ", ETP ,,IPO,20041112,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 3,977,489 "," 70,174,902 "," 10,333 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN0164,TSX,CI First Asset CanBanc Income Class ETF,CIC," 148,183,123 "," 13,471,193 ", ETP ,,IPO,20100818,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 2,191,460 "," 24,928,198 "," 2,389 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0105,TSX,CI First Asset Core Canadian Equity ETF,CED," 4,868,978 "," 224,999 ", ETP ,,IPO,20150120,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 110,019 "," 2,313,258 ", 189 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN0165,TSX,CI First Asset Core Canadian Equity Income Class ETF,CSY," 16,369,435 "," 796,954 ", ETP ,,IPO,20101018,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 40,954 "," 833,869 ", 180 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0106,TSX,CI First Asset Core U.S. Equity ETF,CES," 8,897,423 "," 369,987 ", ETP ,,IPO,20150120,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 57,152 "," 1,477,190 ", 151 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0108,TSX,CI First Asset Energy Giants Covered Call ETF,NXF," 44,023,094 "," 6,650,632 ", ETP ,,IPO,20150210,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 2,302,823 "," 16,983,306 "," 3,170 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0135,TSX,CI First Asset Enhanced Government Bond ETF,FGO," 623,020,000 "," 56,600,000 ", ETP ,,IPO,20180731,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 7,659,028 "," 78,931,823 "," 4,175 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0131,TSX,CI First Asset Enhanced Short Duration Bond ETF,FSB," 204,008,000 "," 20,500,000 ", ETP ,,IPO,20170912,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 4,094,775 "," 40,627,528 "," 2,581 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0088,TSX,CI First Asset European Bank ETF,FHB," 18,582,373 "," 2,949,583 ", ETP ,,IPO,20140729,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 310,028 "," 2,208,363 ", 573 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIF0003,TSX,CI First Asset Global Asset Allocation ETF,CGAA," 23,335,938 "," 1,152,392 ", ETP ,,IPO,20190812,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 191,004 "," 3,815,716 ", 374 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0101,TSX,CI First Asset Global Financial Sector ETF,FSF," 259,840,545 "," 14,941,952 ", ETP ,,IPO,20141118,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 95,374 "," 1,798,419 ", 158 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN0175,TSX,CI First Asset Gold+ Giants Covered Call ETF,CGXF," 33,446,925 "," 2,613,041 ", ETP ,,IPO,20110603,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 693,058 "," 8,285,196 "," 1,420 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0134,TSX,CI First Asset Health Care Giants Covered Call ETF,FHI," 175,671,500 "," 17,150,000 ", ETP ,,IPO,20180612,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 141,139 "," 1,451,733 ", 301 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIF0002,TSX,CI First Asset High Interest Savings ETF,CSAV," 235,070,500 "," 4,700,000 ", ETP ,,IPO,20190618,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 251,605 "," 12,590,537 ", 265 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR0032,TSX,CI First Asset Investment Grade Bond ETF,FIG," 727,088,704 "," 64,466,788 ", ETP ,,IPO,20091022,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 6,956,870 "," 75,723,157 "," 6,064 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0116,TSX,CI First Asset Long Duration Fixed Income ETF,FLB," 65,250,000 "," 3,000,000 ", ETP ,,IPO,20160517,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 108,206 "," 2,196,061 ", 86 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XTF0001,TSX,CI First Asset Morningstar Canada Dividend Target 30 Index ETF,DXM," 12,996,240 "," 1,330,219 ", ETP ,,IPO,20120206,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 204,271 "," 2,037,454 ", 347 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XTF0002,TSX,CI First Asset Morningstar Canada Momentum Index ETF,WXM," 922,365,026 "," 48,699,315 ", ETP ,,IPO,20120215,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 1,559,456 "," 27,233,986 "," 2,812 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XTF0003,TSX,CI First Asset Morningstar Canada Value Index ETF,FXM," 74,197,552 "," 5,188,640 ", ETP ,,IPO,20120215,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 534,664 "," 7,538,577 "," 1,214 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0102,TSX,CI First Asset Morningstar International Momentum Index ETF,ZXM," 55,613,483 "," 1,951,877 ", ETP ,,IPO,20141118,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 378,375 "," 10,566,159 "," 1,095 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0103,TSX,CI First Asset Morningstar International Value Index ETF,VXM," 441,510,619 "," 18,493,051 ", ETP ,,IPO,20141118,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 574,674 "," 14,242,171 "," 1,591 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XTF0004,TSX,CI First Asset Morningstar National Bank Quebec Index ETF,QXM," 69,240,680 "," 3,273,791 ", ETP ,,IPO,20120206,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 314,804 "," 6,493,060 "," 1,062 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XTF0005,TSX,CI First Asset Morningstar US Dividend Target 50 Index ETF,UXM," 50,100,417 "," 3,448,160 ", ETP ,,IPO,20120206,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 524,732 "," 7,784,653 ", 931 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0079,TSX,CI First Asset Morningstar US Momentum Index ETF,YXM," 38,144,369 "," 2,414,718 ", ETP ,,IPO,20131022,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 329,794 "," 5,099,200 ", 871 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0080,TSX,CI First Asset Morningstar US Value Index ETF,XXM," 35,901,373 "," 3,295,377 ", ETP ,,IPO,20131022,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 701,298 "," 8,915,332 "," 1,455 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0081,TSX,CI First Asset MSCI Canada Low Risk Weighted ETF,RWC," 6,135,677 "," 504,994 ", ETP ,,IPO,20140219,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 135,170 "," 1,642,911 ", 173 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN0169,TSX,CI First Asset MSCI Canada Quality Index Class ETF,FQC," 562,971,866 "," 20,920,545 ", ETP ,,IPO,20110218,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 465,539 "," 12,003,322 ", 579 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0082,TSX,CI First Asset MSCI Europe Low Risk Weighted ETF,RWE," 67,572,527 "," 2,349,784 ", ETP ,,IPO,20140211,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 959,689 "," 25,980,300 "," 1,311 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0129,TSX,CI First Asset MSCI International Low Risk Weighted ETF,RWX," 223,749,000 "," 10,200,000 ", ETP ,,IPO,20170825,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 546,478 "," 11,718,313 ", 556 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0083,TSX,CI First Asset MSCI USA Low Risk Weighted ETF,RWU," 43,643,216 "," 2,116,894 ", ETP ,,IPO,20140211,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 349,693 "," 6,792,877 ", 779 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0084,TSX,CI First Asset MSCI World Low Risk Weighted ETF,RWW," 510,359,315 "," 14,634,673 ", ETP ,,IPO,20140219,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 547,282 "," 17,465,941 "," 1,626 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0117,TSX,CI First Asset Preferred Share ETF,FPR," 46,464,513 "," 2,395,078 ", ETP ,,IPO,20160517,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 219,198 "," 4,386,607 ", 681 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0115,TSX,CI First Asset Short Term Government Bond Index Class ETF,FGB," 50,747,500 "," 2,650,000 ", ETP ,,IPO,20160301,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 453,882 "," 8,650,412 ", 397 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEC0022,TSX,CI First Asset Tech Giants Covered Call ETF,TXF," 295,407,602 "," 18,398,997 ", ETP ,,IPO,20111026,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 3,746,532 "," 60,040,505 "," 13,046 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0077,TSX,CI First Asset U.S. & Canada LifeCo Income ETF,FLI," 126,555,327 "," 12,075,890 ", ETP ,,IPO,20130822,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 3,108,150 "," 34,642,856 "," 5,214 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0118,TSX,CI First Asset U.S. Buyback Index ETF,FBU," 22,920,000 "," 800,000 ", ETP ,,IPO,20160913,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 130,926 "," 3,568,224 ", 356 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0123,TSX,CI First Asset U.S. Tactical Sector Allocation Index ETF,FUT," 4,958,000 "," 200,000 ", ETP ,,IPO,20161018,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 160,503 "," 3,852,890 ", 135 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0128,TSX,CI First Asset U.S. TrendLeaders Index ETF,SID," 37,040,000 "," 1,600,000 ", ETP ,,IPO,20170705,ON,Canada,,,,,,,,,,,,,,,,,C,First Asset,ETP,Exchange Traded Funds,,," 343,671 "," 7,342,499 "," 1,167 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIB0002,TSX,CIBC Active Investment Grade Corporate Bond ETF,CACB," 98,348,000 "," 4,600,000 ", ETP ,,IPO,20190122,ON,Canada,,,,,,,,,,,,,,,,,C,CIBC,ETP,Exchange Traded Funds,,," 250,247 "," 5,207,435 ", 402 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIB0003,TSX,CIBC Active Investment Grade Floating Rate Bond ETF,CAFR," 26,039,000 "," 1,300,000 ", ETP ,,IPO,20190122,ON,Canada,,,,,,,,,,,,,,,,,C,CIBC,ETP,Exchange Traded Funds,,," 2,825 "," 56,625 ", 22 , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIB0004,TSX,CIBC Multifactor Canadian Equity ETF,CMCE," 41,827,500 "," 1,950,000 ", ETP ,,IPO,20190122,ON,Canada,,,,,,,,,,,,,,,,,C,CIBC,ETP,Exchange Traded Funds,,," 29,483 "," 628,651 ", 122 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIB0005,TSX,CIBC Multifactor U.S. Equity ETF,CMUE," 44,956,500 "," 2,000,000 ", ETP ,,IPO,20190122,ON,Canada,,,,,,,,,,,,,,,,,C,CIBC,ETP,Exchange Traded Funds,,," 48,704 "," 1,063,570 ", 172 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIB0001,TSX,CIBT Education Group Inc.,MBA," 46,684,849 "," 76,532,540 ", Consumer Products & Services ,,TSXV Grad,20100526,BC,Canada,,,OTCQX,1,,,,,,Consumer Discretionary,,,,,,,C,,,,,," 7,179,105 "," 4,456,329 "," 1,395 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIN0006,TSX,Cineplex Inc.,CGX," 1,570,664,302 "," 63,333,238 ", Comm & Media ,,IPO,20031125,ON,Canada,,,,,,1,,,,,,,,,,,C,,,,,2011," 40,290,082 "," 1,006,970,886 "," 230,648 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIP0001,TSX,Cipher Pharmaceuticals Inc.,CPH," 34,744,568 "," 26,933,774 ", Life Sciences ,,Other,20040225,ON,Canada,,,,,,,,,,,,Pharmaceuticals,,,,,C,,,,,," 5,398,389 "," 8,269,808 "," 7,633 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC0010,TSX,Citadel Income Fund,CTF," 48,706,935 "," 15,173,500 ", Closed-End Funds ,,IPO,20050217,AB,Canada,,,,,,,,,,,,,,,,,C,Citadel,Other SPI,Fund of Multi-Asset/Other,FI Trust,," 1,133,515 "," 3,807,040 "," 1,699 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLA0003,TSX,Clairvest Group Inc.,CVG," 772,870,344 "," 15,243,991 ", Financial Services ,,,19870506,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,," 123,441 "," 6,129,852 ", 387 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLA0005,TSX,Clarke Inc.,CKI," 152,869,894 "," 12,027,529 ", Industrial Products & Services ,,,19980316,NS,Canada,,,,,,,,,,,,,,,,,C,,,,,," 278,467 "," 3,610,177 ", 670 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE0012,TSX,Clean TeQ Holdings Limited,CLQ," 238,867,266 "," 746,460,205 ", Mining ,,Other,20171215,Australia,Australia/NZ/PNG,ASX,,OTCQX,,,,,,,,,,,,,,F,,,,,," 6,910,628 "," 2,205,431 "," 1,531 ", 8 ,,Australia,,,,,,,,,,,1,,,,,,,,,,,,,,,"Cobalt, Scandium"
NEW0052,TSX,ClearStream Energy Services Inc.,CSM," 5,497,062 "," 109,941,241 ", Industrial Products & Services ,Energy Services,IPO,20050805,AB,Canada,,,,,,,,,,,,,,,,,C,,,,,2011," 92,152,216 "," 5,435,752 "," 5,907 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE0010,TSX,Clearwater Seafoods Incorporated,CLR," 368,147,512 "," 65,043,730 ", Clean Technology ,,,20020730,NS,Canada,,,,,,,Consumer Products & Services,Low Impact Material and Products,,,,,,,,,C,,,,,," 3,980,934 "," 21,001,955 "," 11,963 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNO0001,TSX,CNOOC Limited,CNU," 2,056,511,308 "," 10,416,935 ", Oil & Gas ,,Other,20130918,Hong Kong,Asia,NYSE,HKEx,,,,,,,,,,,,,Hong Kong,,F,,,,,," 18,120 "," 3,956,433 ", 241 , 8 ,"Algeria,Equatorial Guinea,Gabon,Nigeria,Republic of Congo,Uganda","Australia,New Zealand,Papua New Guinea","AB, YT","China,Indonesia","Argentina,Brazil,Colombia,Trinidad & Tobago",Iraq,"Iceland,UK","AK, CO, TX, WY",1,,,,,,,,,,,,,,,,,,,
COG0004,TSX,Cogeco Communications Inc.,CCA," 3,536,521,219 "," 33,797,030 ", Comm & Media ,,,19930705,Quebec,Canada,,,,,,1,,,,,,,,,,,C,,,,,," 15,320,217 "," 1,382,555,322 "," 116,688 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG0001,TSX,Cogeco Inc.,CGO," 1,345,456,994 "," 14,337,777 ", Comm & Media ,,,19861203,Quebec,Canada,,,,,,,,,,,,,,,,,C,,,,,," 2,906,227 "," 238,056,184 "," 23,514 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL0013,TSX,Colabor Group Inc.,GCL," 128,392,684 "," 102,177,932 ", Consumer Products & Services ,,IPO,20050627,Quebec,Canada,,,,,,,,,,Consumer Staples,,,,,,,C,,,,,2009," 27,018,386 "," 24,059,397 "," 11,154 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0031,TSX,Colliers International Group Inc.,CIGI," 3,435,668,707 "," 38,259,117 ", Real Estate ,,,19930622,ON,Canada,NasdaqGM,,,,,1,,,,,Real Estate Operating Companies,,,,,,C,,,,,," 13,200,939 "," 1,158,740,867 "," 107,748 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL0017,TSX,Columbus Gold Corp.,CGT," 25,293,174 "," 168,621,160 ", Mining ,,TSXV Grad,20160126,BC,Canada,,,OTCQX,1,,,,,,,,,,,,,C,,,,,," 12,687,561 "," 2,340,322 "," 3,750 ", 8 ,,,,,French Guiana,,,NV,,1,,,,,,,,,,,,,,,,,,
COM0007,TSX,Cominar Real Estate Investment Trust,CUF," 2,277,404,054 "," 182,046,687 ", Real Estate ,,,19980521,Quebec,Canada,,,,,,1,,,,,Diversified,,,,,,C,,Income Trust,,REIT,," 69,413,613 "," 828,619,680 "," 214,977 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM0033,TSX,Commerce Split Corp.,YCM," 17,096,607 "," 4,866,207 ", Closed-End Funds ,,IPO,20070215,ON,Canada,,,,,,,,,,,,,,,,,C,Quadravest,Other SPI,Split Shares,Split Share Corp.,," 539,541 "," 2,077,492 ", 501 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM0018,TSX,Computer Modelling Group Ltd.,CMG," 543,136,587 "," 80,226,970 ", Technology ,,TSXV Grad,20031020,AB,Canada,,,,1,,,,,Software,,,,,,,,C,,,,,," 23,846,890 "," 150,703,002 "," 110,155 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON0093,TSX,Condor Gold plc,COG," 49,225,031 "," 94,663,522 ", Mining ,,Other,20180115,UK,UK/Europe,AIM,,OTCQX,,,,,,,,,,,,,,F,,,,,," 476,350 "," 195,050 ", 164 , 8 ,,,,,Nicaragua,,,,,1,,,,,,,,,,,,,,,,,,
CON0090,TSX,Condor Petroleum Inc.,CPI," 6,624,765 "," 44,165,100 ", Oil & Gas ,,IPO,20110411,AB,Canada,,,,,,,,,,,,,,,,,C,,,,,," 2,414,365 "," 534,503 ", 876 , 8 ,,,Canada,,,Kazakhstan,,,1,,,,,,,,,,,,,,,,,,,
CON0092,TSX,Conifex Timber Inc.,CFF," 28,211,256 "," 46,630,175 ", Industrial Products & Services ,Forest Products & Paper,TSXV Grad,20140520,BC,Canada,,,,1,1,,,,,,,,,,,,C,,,,,," 9,373,765 "," 13,675,031 "," 11,068 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON0075,TSX,Constellation Software Inc.,CSU," 27,839,466,951 "," 24,014,399 ", Technology ,,IPO,20060517,ON,Canada,,,,,,60,,,Software,,,,,,,,C,,,,,," 7,350,278 "," 8,451,189,828 "," 89,677 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON0089,TSX,Continental Gold Inc.,CNL," 844,932,155 "," 203,108,691 ", Mining ,,TSXV Grad,20100419,ON,Canada,,,OTCQX,1,,,,,,,,,,,,,F,,,,,," 69,994,496 "," 216,957,635 "," 166,159 ", 8 ,,,,,Colombia,,,,,1,,,,,,,,,,,,,,,,,,
COO0001,TSX,Co-operators General Insurance Company,CCS," 97,440,000 "," 4,000,000 ", Financial Services ,,,19970610,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,," 447,657 "," 10,529,198 "," 2,022 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COP0011,TSX,Copper Mountain Mining Corporation,CMMC," 126,118,898 "," 188,237,161 ", Mining ,,TSXV Grad,20080919,BC,Canada,ASX,,,1,,,,,,,,,,,,,C,,,,,," 43,295,142 "," 38,409,632 "," 18,743 ", 8 ,,Australia,BC,,,,,,,1,,1,,,,,,,,,,,,,,,,
COR0003,TSX,Corby Spirit and Wine Limited,CSW," 498,002,313 "," 28,468,856 ", Consumer Products & Services ,,,19690203,ON,Canada,,,,,,,,,,Consumer Staples,,,,,,,C,,,,,," 1,776,516 "," 32,053,208 "," 8,940 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COR0031,TSX,Core Canadian Dividend Trust,CDD," 2,786,404 "," 516,958 ", Closed-End Funds ,,IPO,20061115,ON,Canada,,,,,,,,,,,,,,,,,C,Strathbridge,Other SPI,Fund of Equities,FI Trust,," 224,288 "," 1,214,936 ", 480 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
